model,masking,feature,mae,rmse,n_masked
mean,random_p0.3,heart_rate,0.7861,0.9639,963
mean,random_p0.3,sbp,0.8262,1.0124,931
mean,random_p0.3,dbp,0.6905,0.8885,935
mean,random_p0.3,respiratory_rate,0.7806,1.0273,905
mean,random_p0.3,spo2,0.7496,0.9454,934
mean,random_p0.3,temperature,0.9843,1.2741,65
mean,random_p0.3,glucose,0.7157,1.0163,96
mean,random_p0.3,potassium,0.7099,0.9029,100
mean,random_p0.3,sodium,0.5061,0.6201,99
mean,random_p0.3,chloride,0.6106,0.7624,100
mean,random_p0.3,creatinine,0.6683,0.8926,98
mean,random_p0.3,bun,0.6182,0.9048,87
mean,random_p0.3,wbc,0.7459,1.2956,70
mean,random_p0.3,platelets,0.6454,0.8281,84
mean,random_p0.3,hemoglobin,0.9083,1.0785,77
mean,random_p0.3,hematocrit,0.8778,1.0783,88
mean,random_p0.3,lactate,0.5785,0.7217,84
locf,random_p0.3,heart_rate,0.3097,0.4755,963
locf,random_p0.3,sbp,0.3967,0.5822,931
locf,random_p0.3,dbp,0.5251,0.7885,935
locf,random_p0.3,respiratory_rate,0.6373,0.9201,905
locf,random_p0.3,spo2,0.5673,0.9667,934
locf,random_p0.3,temperature,0.3452,0.5411,65
locf,random_p0.3,glucose,0.6266,1.0109,96
locf,random_p0.3,potassium,0.5945,0.7722,100
locf,random_p0.3,sodium,0.3932,0.5253,99
locf,random_p0.3,chloride,0.4114,0.5546,100
locf,random_p0.3,creatinine,0.2666,0.4463,98
locf,random_p0.3,bun,0.2893,0.4106,87
locf,random_p0.3,wbc,0.3085,0.5272,70
locf,random_p0.3,platelets,0.3965,0.5976,84
locf,random_p0.3,hemoglobin,0.7270,0.9897,77
locf,random_p0.3,hematocrit,0.5362,0.7776,88
locf,random_p0.3,lactate,0.4040,0.5481,84
linear_interp,random_p0.3,heart_rate,0.2363,0.3467,963
linear_interp,random_p0.3,sbp,0.3287,0.4765,931
linear_interp,random_p0.3,dbp,0.4641,0.6676,935
linear_interp,random_p0.3,respiratory_rate,0.5548,0.8160,905
linear_interp,random_p0.3,spo2,0.4838,0.7336,934
linear_interp,random_p0.3,temperature,0.2264,0.3865,65
linear_interp,random_p0.3,glucose,0.4518,0.7564,96
linear_interp,random_p0.3,potassium,0.5225,0.6978,100
linear_interp,random_p0.3,sodium,0.3490,0.4734,99
linear_interp,random_p0.3,chloride,0.2958,0.4179,100
linear_interp,random_p0.3,creatinine,0.1266,0.2251,98
linear_interp,random_p0.3,bun,0.1105,0.1580,87
linear_interp,random_p0.3,wbc,0.2183,0.4373,70
linear_interp,random_p0.3,platelets,0.1911,0.2672,84
linear_interp,random_p0.3,hemoglobin,0.4385,0.6255,77
linear_interp,random_p0.3,hematocrit,0.3023,0.4093,88
linear_interp,random_p0.3,lactate,0.3111,0.4542,84
