model,masking,feature,mae,rmse,n_masked
mean,random_p0.1,heart_rate,0.0720,0.0906,43311
mean,random_p0.1,sbp,0.1619,2.7104,40268
mean,random_p0.1,dbp,0.0446,0.1976,40755
mean,random_p0.1,respiratory_rate,0.0012,0.0014,42911
mean,random_p0.1,spo2,0.0010,0.0011,42380
mean,random_p0.1,creatinine,0.6133,1.0069,3802
mean,random_p0.1,lactate,0.0029,0.0030,2418
mean,random_p0.1,glucose,0.5882,1.0086,3533
mean,random_p0.1,bun,0.7142,0.9877,3726
locf,random_p0.1,heart_rate,0.0291,0.0451,43311
locf,random_p0.1,sbp,0.0879,2.7071,40268
locf,random_p0.1,dbp,0.0413,1.5352,40755
locf,random_p0.1,respiratory_rate,0.0007,0.0011,42911
locf,random_p0.1,spo2,0.0003,0.0011,42380
locf,random_p0.1,creatinine,0.2568,0.5809,3802
locf,random_p0.1,lactate,0.0010,0.0017,2418
locf,random_p0.1,glucose,0.5427,1.0562,3533
locf,random_p0.1,bun,0.3169,0.5870,3726
linear_interp,random_p0.1,heart_rate,0.0230,0.0347,43311
linear_interp,random_p0.1,sbp,0.0751,2.7065,40268
linear_interp,random_p0.1,dbp,0.0329,0.7908,40755
linear_interp,random_p0.1,respiratory_rate,0.0006,0.0009,42911
linear_interp,random_p0.1,spo2,0.0002,0.0007,42380
linear_interp,random_p0.1,creatinine,0.1113,0.2581,3802
linear_interp,random_p0.1,lactate,0.0004,0.0010,2418
linear_interp,random_p0.1,glucose,0.4625,0.9897,3533
linear_interp,random_p0.1,bun,0.1307,0.2400,3726
saits,random_p0.1,heart_rate,0.0217,0.0322,43311
saits,random_p0.1,sbp,0.0588,2.7060,40268
saits,random_p0.1,dbp,0.0204,0.1925,40755
saits,random_p0.1,respiratory_rate,0.0008,0.0011,42911
saits,random_p0.1,spo2,0.0004,0.0005,42380
saits,random_p0.1,creatinine,0.0900,0.1892,3802
saits,random_p0.1,lactate,0.0005,0.0008,2418
saits,random_p0.1,glucose,0.4030,0.8424,3533
saits,random_p0.1,bun,0.1131,0.1940,3726
