model,masking,mae,rmse,mre,r2,corr_err
mean,block_L10_N2,0.7887,0.9917,1.0000,-0.0003,0.0021
locf,block_L10_N2,0.5973,0.8540,2.4034,0.2583,0.0191
linear_interp,block_L10_N2,0.4816,0.7027,1.9834,0.4979,0.0247
sssd,block_L10_N2,0.6433,0.8342,1.8741,0.2923,0.0035
